trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.5, 'e': 0.18451952399299051}",20,8,-42.98967513091127,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.1826835240527359}",25,12,23.780647512344956,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.18086579261712335}",20,7,19.603347401933814,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17906614791149453}",20,9,24.865869251750315,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.1772844099698791}",25,8,14.5803499298632,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17552040061699817}",35,19,18.097328136918033,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17377394345044642}",25,17,15.685092590161798,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.1720448638230518}",30,16,21.970393843897767,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17033298882541076}",25,11,-15.56415574823016,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
178,False,"{'a': 0.5, 'e': 0.16863814726859683}",25,9,26.83875092682819,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.16696016966704202}",25,10,16.11789128715512,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16529888822158786}",20,8,20.693602487331102,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16365413680270538}",20,7,2.677032062122893,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.1620257509338821}",20,13,11.981241000444157,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.16041356777517407}",20,3,20.463198466072903,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.158817426106922}",25,13,7.07031213361607,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.15723716631362894}",20,13,7.665053034824898,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.15567263036799864}",25,9,5.30948996998217,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.15412366181513276}",25,6,15.742248367919746,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.15259010575688522}",25,17,1.4732349457791418,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.15107180883637225}",25,20,11.578020194885656,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.14956861922263648}",20,11,17.48412578942317,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.1480803865954639}",25,3,36.70646964575743,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.1466069621303516}",30,8,33.45774233021571,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.1451481984836252}",20,3,-38.04454255732034,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
194,False,"{'a': 0.5, 'e': 0.14370394977770437}",25,0,7.253846829181315,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.14227407158651503}",25,20,9.185729876832989,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.14085842092104645}",30,9,-58.573805608845745,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 2}",1
197,False,"{'a': 0.5, 'e': 0.13945685621505238}",25,20,10.232590565261077,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.13806923731089427}",20,11,17.35678472118851,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.1366954254455253}",35,17,25.451652541440684,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.13533528323661412}",20,8,24.90382796562119,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.13398867466880643}",20,9,19.39219576533437,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.13265546508012313}",25,16,16.252969880263464,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.13133552114849448}",25,15,8.509698624794478,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.13002871087842732}",20,11,14.01049619147037,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.12873490358780568}",25,13,15.47652714641573,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.12745396989482222}",20,8,13.999383233731454,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.1261857817050402}",35,22,-17.061728740985423,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
208,False,"{'a': 0.5, 'e': 0.12493021219858388}",20,7,26.475075798782758,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.12368713581745622}",25,15,11.16290667341633,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.12245642825298332}",25,8,36.14314928884517,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.12123796643338304}",30,19,20.346592604017896,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.12003162851145813}",20,7,23.271919154303347,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.118837293852411}",25,15,15.115827386023474,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.11765484302178052}",25,17,14.625686206843518,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.11648415777349827}",25,14,-1.0508998886442469,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.1153251210380638}",30,15,29.945400516492747,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.11417761691083778}",25,18,12.10500826738638,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.11304153064045112}",30,18,19.759235278653303,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.11191674861733009}",20,16,6.834122318838951,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.11080315836233512}",25,19,12.399155978498555,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.10970064851551259}",25,3,-101.04180333881175,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 3}",1
222,False,"{'a': 0.5, 'e': 0.10860910882495918}",25,3,36.15414069421674,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.10752843013579612}",30,0,31.429082974111854,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
224,False,"{'a': 0.5, 'e': 0.10645850437925398}",25,17,16.32455717508063,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.10539922456186547}",20,14,10.74866308844298,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
